Sample	Sample_MeanGC	Sample_MedianGC	Genome_MeanGC	Genome_MedianGC	Genome	GC_Ratio
HelaS3_0sync_100inter_1_H3K9ac_3	0.4530713692404758	0.4319902519729541	0.4047373055568359	0.3906770864093714	hg38	1.1194208268425914
HelaS3_100sync_0inter_1_H3K9ac_1	0.4396098900281319	0.4184782593215436	0.4047373055568359	0.3906770864093714	hg38	1.086161033323376
HelaS3_100sync_0inter_1_H3K9ac_2	0.4416911344046075	0.4205615887304655	0.4047373055568359	0.3906770864093714	hg38	1.0913032437099681
HelaS3_0sync_100inter_1_H3K9ac_1	0.4358242704580194	0.4137579632320144	0.4047373055568359	0.3906770864093714	hg38	1.0768077577094461
HelaS3_0sync_100inter_1_input_1	0.3905328321102189	0.3755930110264786	0.4047373055568359	0.3906770864093714	hg38	0.9649044621002392
HelaS3_100sync_0inter_1_H3K9ac_3	0.4558130331116525	0.4355622453397232	0.4047373055568359	0.3906770864093714	hg38	1.1261947610303598
HelaS3_0sync_100inter_1_H3K9ac_2	0.4580975052652002	0.4375991826873563	0.4047373055568359	0.3906770864093714	hg38	1.1318390940883287
HelaS3_100sync_0inter_1_input_1	0.3932890497419269	0.3788527508382522	0.4047373055568359	0.3906770864093714	hg38	0.9717143548229177
HelaS3_100sync_0inter_1_H3K9ac_2	0.4374365389162435	0.4362082465902522	0.4169798294801344	0.4138571331100359	dm6	1.0490592301829402
HelaS3_100sync_0inter_1_H3K9ac_1	0.4351962519346417	0.4334271444347151	0.4169798294801344	0.4138571331100359	dm6	1.0436865794616934
HelaS3_0sync_100inter_1_H3K9ac_1	0.4320114536399999	0.430242251843727	0.4169798294801344	0.4138571331100359	dm6	1.0360488040359315
HelaS3_0sync_100inter_1_H3K9ac_2	0.4354180618472686	0.4334295313194136	0.4169798294801344	0.4138571331100359	dm6	1.0442185234478174
HelaS3_100sync_0inter_1_H3K9ac_3	0.4371862795646403	0.435834408161598	0.4169798294801344	0.4138571331100359	dm6	1.048459058822337
HelaS3_0sync_100inter_1_input_1	0.4186482658239537	0.4158921074990078	0.4169798294801344	0.4138571331100359	dm6	1.004001239930237
HelaS3_100sync_0inter_1_input_1	0.4195921101812281	0.4172864971710298	0.4169798294801344	0.4138571331100359	dm6	1.0062647651430778
HelaS3_0sync_100inter_1_H3K9ac_3	0.4337927142321943	0.4319472657190091	0.4169798294801344	0.4138571331100359	dm6	1.0403206188007252
HelaS3_100sync_0inter_1_H3K9ac_1	0.3816435185999999	0.3772258677914262	0.3788340410199999	0.3744403065002877	sac3	1.0074161170216793
HelaS3_100sync_0inter_1_H3K9ac_3	0.3824645411297636	0.3780975611791313	0.3788340410199999	0.3744403065002877	sac3	1.0095833523829818
HelaS3_0sync_100inter_1_input_1	0.3791276605399999	0.3741605808878546	0.3788340410199999	0.3744403065002877	sac3	1.0007750610774298
HelaS3_0sync_100inter_1_H3K9ac_3	0.3823345289866428	0.3778659408467381	0.3788340410199999	0.3744403065002877	sac3	1.009240162149151
HelaS3_100sync_0inter_1_input_1	0.3795420967811225	0.3745657018716237	0.3788340410199999	0.3744403065002877	sac3	1.0018690394327188
HelaS3_0sync_100inter_1_H3K9ac_2	0.382373745864175	0.3779377590788227	0.3788340410199999	0.3744403065002877	sac3	1.0093436820900374
HelaS3_0sync_100inter_1_H3K9ac_1	0.3823769141091793	0.3779680887699472	0.3788340410199999	0.3744403065002877	sac3	1.0093520452376463
HelaS3_100sync_0inter_1_H3K9ac_2	0.3825280821968539	0.3781742209299122	0.3788340410199999	0.3744403065002877	sac3	1.0097510803593783
